"Make","Model","CCD Width"
"Canon","Canon DIGITAL IXUS 400","7.176"
"Canon","Canon DIGITAL IXUS 40","5.76"
"Canon","Canon DIGITAL IXUS 430","7.176"
"Canon","Canon DIGITAL IXUS 500","7.176"
"Canon","Canon DIGITAL IXUS 50","5.76"
"Canon","Canon DIGITAL IXUS 55","5.76"
"Canon","Canon DIGITAL IXUS 60","5.76"
"Canon","Canon DIGITAL IXUS 65","5.76"
"Canon","Canon DIGITAL IXUS 700","7.176"
"Canon","Canon DIGITAL IXUS 750","7.176"
"Canon","Canon DIGITAL IXUS 800 IS","5.76"
"Canon","Canon DIGITAL IXUS II","5.27"
"Canon","Canon EOS 10D","22.7"
"Canon","Canon EOS-1D Mark II","28.7"
"Canon","Canon EOS-1Ds Mark II","35.95"
"Canon","Canon EOS  20D","22.5"
"Canon","Canon EOS 20D","22.5"
"Canon","Canon EOS 300D DIGITAL","22.66"
"Canon","Canon EOS 30D","22.5"
"Canon","Canon EOS 350D DIGITAL","22.2"
"Canon","Canon EOS 400D DIGITAL","22.2"
"Canon","Canon EOS 40D","22.2"
"Canon","Canon EOS 5D","35.8"
"Canon","Canon EOS DIGITAL REBEL","22.66"
"Canon","Canon EOS DIGITAL REBEL XT","22.2"
"Canon","Canon EOS DIGITAL REBEL XTi","22.2"
"Canon","Canon EOS Kiss Digital","22.66"
"Canon","Canon IXY DIGITAL 600","7.176"
"Canon","Canon PowerShot A20","7.176"
"Canon","Canon PowerShot A400","4.54"
"Canon","Canon PowerShot A40","5.27"
"Canon","Canon PowerShot A510","5.76"
"Canon","Canon PowerShot A520","5.76"
"Canon","Canon PowerShot A530","5.76"
"Canon","Canon PowerShot A60","5.27"
"Canon","Canon PowerShot A620","7.176"
"Canon","Canon PowerShot A630","7.176"
"Canon","Canon PowerShot A640","7.176"
"Canon","Canon PowerShot A700","5.76"
"Canon","Canon PowerShot A70","5.27"
"Canon","Canon PowerShot A710 IS","5.76"
"Canon","Canon PowerShot A75","5.27"
"Canon","Canon PowerShot A80","7.176"
"Canon","Canon PowerShot A85","5.27"
"Canon","Canon PowerShot A95","7.176"
"Canon","Canon PowerShot G1","7.176"
"Canon","Canon PowerShot G2","7.176"
"Canon","Canon PowerShot G3","7.176"
"Canon","Canon PowerShot G5","7.176"
"Canon","Canon PowerShot G6","7.176"
"Canon","Canon PowerShot G7","7.176"
"Canon","Canon PowerShot G9","7.6"
"Canon","Canon PowerShot Pro1","8.8"
"Canon","Canon PowerShot S110","5.27"
"Canon","Canon PowerShot S1 IS","5.27"
"Canon","Canon PowerShot S200","5.27"
"Canon","Canon PowerShot S2 IS","5.76"
"Canon","Canon PowerShot S30","7.176"
"Canon","Canon PowerShot S3 IS","5.76"
"Canon","Canon PowerShot S400","7.176"
"Canon","Canon PowerShot S40","7.176"
"Canon","Canon PowerShot S410","7.176"
"Canon","Canon PowerShot S45","7.176"
"Canon","Canon PowerShot S500","7.176"
"Canon","Canon PowerShot S50","7.176"
"Canon","Canon PowerShot S60","7.176"
"Canon","Canon PowerShot S70","7.176"
"Canon","Canon PowerShot S80","7.176"
"Canon","Canon PowerShot SD1000","5.75"
"Canon","Canon PowerShot SD100","5.27"
"Canon","Canon PowerShot SD10","5.75"
"Canon","Canon PowerShot SD110","5.27"
"Canon","Canon PowerShot SD200","5.76"
"Canon","Canon PowerShot SD300","5.76"
"Canon","Canon PowerShot SD400","5.76"
"Canon","Canon PowerShot SD450","5.76"
"Canon","Canon PowerShot SD500","7.176"
"Canon","Canon PowerShot SD550","7.176"
"Canon","Canon PowerShot SD600","5.76"
"Canon","Canon PowerShot SD630","5.76"
"Canon","Canon PowerShot SD700 IS","5.76"
"Canon","Canon PowerShot SD750","5.75"
"Canon","Canon PowerShot SD800 IS","5.76"
"Canon","EOS 300D DIGITAL", "22.66"
"Canon","EOS DIGITAL REBEL","22.66"
"Canon","PowerShot A510","5.76"
