"このアドオンはWazou Pie Menuをコンパクトにし、さらに機能を追加したアドオンです。","This add-on is a compact modified 'wazou pie menu'and added functions."
"右クリックをパイメニューで拡張するアドオン。","Extend Right click with pie menu."
"必要な機能だけ・アクセスしやすく・使いやすいをコンセプトに、","Only necessary functions - Accessible - Easy to use concept as a concept,"
"パイメニューを右クリックを中心にキー設定をしたものです。","Key setting with centering on Right click."
"その他オブジェクト追加やUVエディターでの選択、機能追加などもあります。","Other, addition of objects, selection with UV editor, fine addition function, etc."
"左選択を前提に作っているので、ユーザー設定のセレクトボタンを「左」に変えてください！！","Change the the system setting select button to the LEFT!!"
"(選択マウスは左という前提で記入します)","(SELECTMOUSE is write it as a LEFT)"
"ーショートカットー","-Shortcut-"
"ー設定ー","-Setting-"
"ー使用するアドオンー","-Use Addon-"
"Ctrl + Fキーでのmisc_pieで、下記のアドオンにアクセスできます。","You can access the following addon with Pie misc with Ctrl + F."
"右クリックキーでのメッシュ選択モードで、下記のアドオンにアクセスできます。","You can access the following addon In the mesh select mode with the Right click."
"円化・ブリッジなどのモデリング補助アドオン(元からBlenderに無効化状態で同梱されています)。","Mesh modeling toolkit (Installed by default. But it is disabled). "
"ブーリアンを簡単にするアドオン。(元からBlenderに無効化状態で同梱されています。)","Boolean toolkit (Installed by default. But it is disabled). "
"複数オブジェクトのUVを一括編集するアドオン。","a quick way to create one UV Layout for multiple objects."
"カーソル/原点","Cursor/Origin"
"雑多/モデリングツールキット","Misc/Modeling toolkit"
"マルチビュー/その他","Views misc"
"ライブ展開","Live Unwrap"
"ノーマル方向によるプロジェクション","Project From Normal Vector"
"複数オブジェクトのUV編集","Multi UV"
"裏面の選択制限","Limit to Visible"
"編集/オブジェクトモード","Edit/Object"
"直前の履歴オプション","Setting"
"横にウィンドウ分割","Split Window H"
"縦にウィンドウ分割","Split Window V"
"ウィンドウ同士を結合","Merge Window"
"実行後にマージしたいウィンドウをクリックします。","Click on the window you want to merge after execution."
"NLAエディター","NLA Editor"
"アウトライナー","Outliner"
"シーケンスエディター","Sequence Editor"
"3Dビュー","VIEW 3D"
"UV/画像エディター","Image Editor"
"ノードエディター","Node Editor"
"テキストエディター","Text Editor"
"グラフエディター","Graph Editor"
"ユーザー設定","User Preferences"
"ドープシート","Dope Sheet"
"Pythonコンソール","Python Console"
"動画クリップエディター","Movie Clip Editor"
