number,symbol,name,mass,cpkHexColor,electronConfiguration,electronNegativity,radius,ionRadius,vanDelWaalsRadius,ionizationEnergy,electronAffinity,oxidationStates/0,oxidationStates/1,standardState,bondingType,meltingPoint,boilingPoint,density,family,yearDiscovered,oxidationStates/2,oxidationStates/3,oxidationStates/4,oxidationStates/5,oxidationStates/6,oxidationStates/7,oxidationStates/8,oxidationStates/9,mass/0
1,H,Hydrogen,1.00794,FFFFFF,1,2.2,37,,120,1312,-73,-1,1,gas,diatomic,14,20,0.0000899,nonmetal,1766,,,,,,,,,
2,He,Helium,4.002602,D9FFFF,2,,32,,140,2372,0,,,gas,atomic,,4,0,noble gas,1868,,,,,,,,,
3,Li,Lithium,6.941,CC80FF,[He] 2s1,0.98,134,76,182,520,-60,1,,solid,metallic,454,1615,0.54,alkali metal,1817,,,,,,,,,
4,Be,Beryllium,9.012182,C2FF00,[He] 2s2,1.57,90,45,,900,0,2,,solid,metallic,1560,2743,1.85,alkaline earth metal,1798,,,,,,,,,
5,B,Boron,10.811,FFB5B5,[He] 2s2 2p1,2.04,82,27,,801,-27,1,2,solid,covalent network,2348,4273,2.46,metalloid,1807,3,,,,,,,,
6,C,Carbon,12.0107,909090,[He] 2s2 2p2,2.55,77,16,170,1087,-154,-4,-3,solid,covalent network,3823,4300,2.26,nonmetal,,-2,,1,2,3,4,,,
7,N,Nitrogen,14.0067,3050,[He] 2s2 2p3,3.04,75,146,155,1402,-7,-3,-2,gas,diatomic,63,77,0,nonmetal,1772,,1,2,3,4,5,,,
8,O,Oxygen,15.9994,FF0D0D,[He] 2s2 2p4,3.44,73,140,152,1314,-141,-2,,gas,diatomic,55,90,0,nonmetal,1774,1,2,,,,,,,
9,F,Fluorine,18.9984032,9e+51,[He] 2s2 2p5,3.98,71,133,147,1681,-328,-1,,gas,atomic,54,85,0,halogen,1670,,,,,,,,,
10,Ne,Neon,20.1797,B3E3F5,[He] 2s2 2p6,,69,,154,2081,0,,,gas,atomic,25,27,0,noble gas,1898,,,,,,,,,
11,Na,Sodium,22.98976928,AB5CF2,[Ne] 3s1,0.93,154,102,227,496,-53,-1,1,solid,metallic,371,1156,0.97,alkali metal,1807,,,,,,,,,
12,Mg,Magnesium,24.305,8,[Ne] 3s2,1.31,130,72,173,738,0,1,2,solid,metallic,923,1363,1.74,alkaline earth metal,1808,,,,,,,,,
13,Al,Aluminum or Aluminium,26.9815386,BFA6A6,[Ne] 3s2 3p1,1.61,118,53.5,,578,-43,1,3,solid,metallic,933,2792,2.7,metal,,,,,,,,,,
14,Si,Silicon,28.0855,F0C8A0,[Ne] 3s2 3p2,1.9,111,40,210,787,-134,-4,-3,solid,metallic,1687,3173,2.33,metalloid,1854,-2,,1,2,3,4,,,
